name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
[XẢ KHO] _ Áo thun họa tiết chấm vai thời trang nam KA36	Hà Nội	True	50%	False	3	False	5.0	[10, 0, 0, 0, 0, 10]	None	None	5500000000	10900000000	5500000000	10900000000	5500000000	10900000000	None	7	83	10	True	True	8	0	0	38
Áo thun cổ tròn lỗ kim thời trang nam Mã KA10, phom 40-75kg.	Hà Nội	True	47%	False	3	False	5.0	[21, 0, 0, 0, 0, 21]	None	None	6900000000	12900000000	6900000000	12900000000	6900000000	12900000000	None	6	79	21	True	True	9	0	2	48
Áo thun thời trang nam A37, phom 40-80kg	Hà Nội	True	46%	False	4	False	4.868132	[91, 2, 0, 1, 2, 86]	None	None	5900000000	10900000000	5900000000	10900000000	5900000000	10900000000	None	28	193	91	False	True	9	0	3	201
🔥HOT🔥 áo phông unisex in hình đẹp ⚡ FREESHIP ⚡Áo thun ZORO đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	4	False	4.888889	[9, 0, 0, 0, 1, 8]	None	None	7900000000	-1	7900000000	-1	7900000000	0	None	29	141	9	False	True	1	0	0	36
thời trang nam- áo thun, áo phông nam nữ in hình gấu cực chất siêu hot, đủ size châu âu	Hà Nội	False	None	False	6	False	4.916667	[12, 0, 0, 0, 1, 11]	None	None	15000000000	-1	15000000000	-1	15000000000	0	None	1341	75	12	False	False	8	1	0	41
[CAM KẾT 100% HÀI LÒNG]-ÁO LÓT THỜI TRANG NAM CỔ TRÒN HÀNG VNXK (HÀ NỘI)	Hà Nội	False	50%	False	3	False	4.868421	[38, 1, 0, 0, 1, 36]	None	None	1700000000	3400000000	1700000000	3400000000	1700000000	3400000000	None	547	9	38	False	True	2	0	0	417
🔥HOT🔥 áo phông Re:zero in hình đẹp ⚡ FREESHIP ⚡Áo Anime đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	5	False	4.8	[10, 0, 0, 0, 2, 8]	None	None	6900000000	-1	6900000000	-1	6900000000	0	None	36	173	10	False	False	1	0	2	19
Combo 03 áo ba lỗ cổ vuông, thời trang nam, chất cotton giá tốt	Hải Phòng	False	None	False	12	False	4.333333	[54, 5, 1, 3, 7, 38]	None	None	15000000000	-1	15000000000	-1	15000000000	0	None	33	71	66	False	True	7	0	1	153
Áo phông cổ tròn thiết kế cao cấp thời trang nam Liyor - TAB062	TP. Hồ Chí Minh	True	29%	False	4	False	5.0	[26, 0, 0, 0, 0, 26]	None	None	9900000000	14000000000	9900000000	14000000000	9900000000	14000000000	None	1084	98	26	True	True	5	1	3	61
Áo thun in hình Don'T Worry Be Furry Sbz409 thời trang nam làm quà Halloween	Nước ngoài	False	30%	False	7	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	20999100000	29998800000	20999100000	29998800000	20999100000	29998800000	None	14	47	1	False	True	6	0	0	5
Áo thể thao thời trang nam mã KA05 phom 45-75kg kynn shop	Hà Nội	True	47%	False	3	False	4.874074	[135, 0, 2, 2, 7, 124]	None	None	8500000000	15900000000	8500000000	15900000000	8500000000	15900000000	None	15	105	135	True	False	9	0	3	244
Áo thun nam (HÌNH THẬT) cổ tròn in chữ nổi cao cấp thun cotton tốt - Thời trang nam Liyor - TACT4041	TP. Hồ Chí Minh	True	50%	False	4	False	4.871429	[70, 0, 0, 3, 3, 64]	None	None	12500000000	25000000000	12500000000	25000000000	12500000000	25000000000	None	10298	145	70	True	True	3	1	1	158
Áo thun Không Cổ Ngắn Tay Mẫu Mới Nhất 2020 Fom 45 - 75kg, Áo cộc tay thời trang nam (AKC02)	Hà Nội	True	41%	False	3	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	8800000000	15000000000	8800000000	15000000000	8800000000	15000000000	None	70	25	3	False	False	9	1	0	113
Áo thun in chữ công nghệ cao thời trang nam phom 40-80kg kynn shop	Hà Nội	True	43%	False	4	False	4.904459	[314, 3, 0, 5, 8, 298]	None	None	6900000000	12000000000	6900000000	12000000000	6900000000	12000000000	None	129	193	314	True	True	5	0	8	642
[SALE GIÁ GỐC] 🔥FLASH SALE🔥 Áo thun Marine hải quân One Piece đep thời trang nam giá rẻ	Hà Nội	False	None	False	1	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	8800000000	-1	8800000000	-1	8800000000	0	None	0	14	0	False	False	1	0	1	1
🔥HOT🔥 áo phông One Piece ⚡ FREESHIP ⚡Áo in hình Portgas D Ace đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	5	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	8900000000	-1	8900000000	-1	8900000000	0	None	1	10	1	False	False	1	0	0	1
Áo Thun Tay Ngắn In Chữ Trẻ Trung Thời Trang Nam 2020	Nước ngoài	False	24%	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	12900000000	16900000000	12900000000	16900000000	12900000000	16900000000	None	0	1	0	False	False	8	0	0	0
BỘ 3 ÁO LÓT THỜI TRANG NAM CỔ TRÒN HÀNG VNXK (HÀ NỘI)	Hà Nội	False	50%	False	3	False	4.833333	[6, 0, 0, 0, 1, 5]	None	None	4950000000	9900000000	4950000000	9900000000	4950000000	9900000000	None	433	1	6	False	True	3	0	0	31
