	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
536	Xả hàng] Sẵn hàng - [Thời trang nam 2020] ÁO GIÓ HỌA TIẾT CAMO DẰN DI [HOT] - Acx23 . - Sẵn Hàng :	Ninh Bình	1608907366	1609771212	863846	False	None	False	3	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	55084000000	-1	55084000000	-1	55084000000	0	None	0	0	0	False	False	4	0	0	0
537	Áo Hoodies Có Nón Dài Tay Thời Trang Nam	Nước ngoài	1578040320	1609771212	31730892	False	42%	False	0	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	10920000000	15400000000	12740000000	19100000000	10920000000	15400000000	None	0	0	0	False	False	9	0	0	0
538	Áo Khoác Da Pu Thời Trang Nam Cá Tính	Nước ngoài	1608373799	1609771212	1397413	False	None	False	12	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	92414400000	-1	92414400000	-1	92414400000	0	None	0	0	0	False	False	9	0	0	0
539	Áo Khoác Đệm Bông Cổ Đứng Thời Trang Nam Trung Niên	Nước ngoài	1608780825	1609771212	990387	False	None	False	10	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	83116500000	-1	83116500000	-1	83116500000	0	None	0	0	0	False	False	9	0	0	0
540	Áo Len Cổ Tròn Dài Tay Thời Trang Nam	Nước ngoài	1604491732	1609771212	5279480	False	45%	False	20	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	32220000000	58510000000	32220000000	58510000000	32220000000	58510000000	None	0	0	0	False	False	9	0	0	0
541	Áo gió BBR nam phản quang siêu nhẹ - Áo khoác gió BBR thời trang nam - Áo gió phản quang	Vĩnh Phúc	1603985569	1609771212	5785643	False	None	False	6	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	18900000000	-1	18900000000	-1	18900000000	0	None	1	8	0	False	False	4	0	0	0
542	áo hoodie Mobile Legends in hình đẹp ⚡ FREESHIP ⚡Áo Game đẹp giá rẻ thời trang nam	Hà Nội	1603819140	1609771212	5952072	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	19400000000	-1	19400000000	-1	19400000000	0	None	0	5	0	False	False	1	0	0	0
543	Áo Len Cổ Tròn Dài Tay Thời Trang Nam	Nước ngoài	1602384310	1609771212	7386902	False	26%	False	20	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	38040000000	51200000000	38040000000	51200000000	38040000000	51200000000	None	1	0	0	False	False	8	0	0	0
544	Áo hoodie dài tay thời trang nam dễ thương	Nước ngoài	1601812294	1609771212	7958918	False	None	False	12	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	21110000000	-1	21110000000	-1	21110000000	0	None	0	1	0	False	False	9	0	0	0
545	[XẢ KHO GIÁ HUỶ DIỆT] _ Áo gió cao cấp trong lót lưới thời trang nam One 4, phom 50-75kg KF6	Tuyên Quang	1608807535	1609771212	963677	False	20%	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	23920000000	29900000000	23920000000	29900000000	23920000000	29900000000	None	0	0	0	False	False	8	0	0	0
