category	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao ngan tay khong co	Hà Nội	1586179578.0	1609949428.0	23769850.0	False	None	False	10.0	False	4.904762	19.0	2.0	0.0	0.0	0.0	None	None	5900000000.0	-1.0	5900000000.0	-1.0	5900000000.0	0.0	None	131.0	1607.0	21.0	False	False	1.0	0.0	89.0
Ao ngan tay khong co	Hà Nội	1591865482.0	1609949428.0	18083946.0	True	28%	False	25.0	False	4.915888	203.0	8.0	1.0	0.0	2.0	None	None	3600000000.0	5000000000.0	4990000000.0	6500000000.0	3600000000.0	5000000000.0	None	71.0	1523.0	214.0	False	True	9.0	0.0	532.0
Ao ngan tay khong co	Hà Nội	1523354427.0	1609949428.0	86595001.0	True	19%	False	42.0	False	4.650794	52.0	4.0	5.0	0.0	2.0	None	None	7900000000.0	9800000000.0	7900000000.0	9800000000.0	7900000000.0	9800000000.0	None	126.0	1361.0	63.0	False	True	7.0	0.0	279.0
Ao ngan tay khong co	Đồng Nai	1593156320.0	1609949428.0	16793108.0	True	None	False	11.0	False	4.788793	211.0	7.0	6.0	2.0	6.0	None	None	990000000.0	-1.0	3990000000.0	-1.0	990000000.0	0.0	None	12236.0	6394.0	232.0	False	False	6.0	0.0	653.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1563598320.0	1609949428.0	46351108.0	True	49%	False	49.0	False	4.9138660000000005	896.0	37.0	14.0	3.0	2.0	None	None	1900000000.0	3700000000.0	3700000000.0	5500000000.0	1900000000.0	3700000000.0	None	729.0	5473.0	952.0	True	False	8.0	0.0	7796.0
Ao ngan tay khong co	Đồng Nai	1601542886.0	1609949428.0	8406542.0	True	None	False	20.0	False	4.735484	132.0	12.0	7.0	1.0	3.0	None	None	2490000000.0	-1.0	4990000000.0	-1.0	2490000000.0	0.0	None	2264.0	9398.0	155.0	False	False	4.0	0.0	647.0
Ao ngan tay khong co	Hà Nội	1592469159.0	1609949428.0	17480269.0	True	22%	False	35.0	False	4.926174	141.0	5.0	3.0	0.0	0.0	None	None	3900000000.0	5000000000.0	5900000000.0	6600000000.0	3900000000.0	5000000000.0	None	1429.0	3915.0	149.0	False	False	9.0	0.0	423.0
Ao ngan tay khong co	Hà Nội	1590372032.0	1609949428.0	19577396.0	False	None	False	40.0	False	5.0	2.0	0.0	0.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	7.0	230.0	2.0	False	False	5.0	0.0	20.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1590479548.0	1609949428.0	19469880.0	True	34%	False	21.0	False	4.705357	93.0	10.0	6.0	1.0	2.0	None	None	2900000000.0	4400000000.0	2900000000.0	4400000000.0	2900000000.0	4400000000.0	None	367.0	2699.0	112.0	False	True	6.0	0.0	539.0
Ao ngan tay khong co	Hà Nội	1583561420.0	1609949428.0	26388008.0	False	None	False	4.0	False	5.0	4.0	0.0	0.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	12.0	62.0	4.0	False	True	1.0	0.0	17.0
Ao ngan tay khong co	Hà Nội	1533722680.0	1609949428.0	76226748.0	False	50%	False	3.0	False	4.8333330000000005	5.0	1.0	0.0	0.0	0.0	None	None	4950000000.0	9900000000.0	4950000000.0	9900000000.0	4950000000.0	9900000000.0	None	433.0	2.0	6.0	False	True	3.0	0.0	31.0
Ao ngan tay khong co	Hà Nội	1580842263.0	1609949428.0	29107165.0	True	47%	False	12.0	False	5.0	21.0	0.0	0.0	0.0	0.0	None	None	6900000000.0	12900000000.0	6900000000.0	12900000000.0	6900000000.0	12900000000.0	None	6.0	79.0	21.0	True	True	9.0	0.0	48.0
Ao ngan tay khong co	Hà Nội	1602262502.0	1609949428.0	7686926.0	True	47%	False	18.0	False	5.0	4.0	0.0	0.0	0.0	0.0	None	None	6900000000.0	12900000000.0	6900000000.0	12900000000.0	6900000000.0	12900000000.0	None	1.0	118.0	4.0	True	False	9.0	0.0	11.0
Ao ngan tay khong co	Hà Nội	1583561612.0	1609949428.0	26387816.0	False	None	False	4.0	False	4.888889	8.0	1.0	0.0	0.0	0.0	None	None	7900000000.0	-1.0	7900000000.0	-1.0	7900000000.0	0.0	None	29.0	145.0	9.0	False	True	1.0	0.0	36.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1570382970.0	1609949428.0	39566458.0	False	23%	False	20.0	False	4.5	7.0	0.0	0.0	0.0	1.0	None	None	6900000000.0	9000000000.0	6900000000.0	9000000000.0	6900000000.0	9000000000.0	None	7.0	75.0	8.0	False	True	6.0	0.0	19.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1588144043.0	1609949428.0	21805385.0	False	None	False	3.0	False	5.0	6.0	0.0	0.0	0.0	0.0	None	None	13000000000.0	-1.0	13000000000.0	-1.0	13000000000.0	0.0	None	664.0	686.0	6.0	False	False	6.0	0.0	422.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1553084089.0	1609949428.0	56865339.0	True	28%	False	16.0	False	4.0	7.0	0.0	1.0	0.0	2.0	None	None	11900000000.0	16500000000.0	11900000000.0	16500000000.0	11900000000.0	16500000000.0	None	2365.0	43.0	10.0	True	True	4.0	0.0	16.0
Ao ngan tay khong co	Bình Định	1560948928.0	1609949428.0	49000500.0	True	38%	False	36.0	False	5.0	6.0	0.0	0.0	0.0	0.0	None	None	7500000000.0	12000000000.0	8300000000.0	12000000000.0	7500000000.0	12000000000.0	None	706.0	13.0	6.0	False	False	2.0	0.0	12.0
Ao ngan tay khong co	Hà Nội	1578235748.0	1609949428.0	31713680.0	False	None	False	28.0	False	5.0	13.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	-1.0	15000000000.0	-1.0	9900000000.0	0.0	None	2603.0	25.0	13.0	False	False	3.0	0.0	30.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1566069923.0	1609949428.0	43879505.0	True	41%	False	9.0	False	5.0	6.0	0.0	0.0	0.0	0.0	None	None	11900000000.0	20000000000.0	11900000000.0	20000000000.0	11900000000.0	20000000000.0	None	1252.0	97.0	6.0	True	True	4.0	1.0	28.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1559552009.0	1609949428.0	50397419.0	False	50%	False	24.0	False	5.0	10.0	0.0	0.0	0.0	0.0	None	None	9000000000.0	18000000000.0	9000000000.0	18000000000.0	9000000000.0	18000000000.0	None	2182.0	74.0	10.0	False	True	7.0	0.0	13.0
Ao ngan tay khong co	Hà Nội	1576546021.0	1609949428.0	33403407.0	False	None	False	24.0	False	4.9166669999999995	11.0	1.0	0.0	0.0	0.0	None	None	15000000000.0	-1.0	15000000000.0	-1.0	15000000000.0	0.0	None	1347.0	59.0	12.0	False	False	8.0	1.0	41.0
