name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Quần tây nam vải co giãn ống côn ĐẲNG CẤP thời trang nam	Hà Nội	True	46%	False	8	False	4.255319	[47, 5, 2, 2, 5, 33]	None	None	7500000000	14000000000	8900000000	14000000000	7500000000	14000000000	None	11806	23	49	False	True	5	0	0	184
(Hàng sịn ) Quần Âu Nam Đẹp KOREA vải mịn co dãn màu ghi nhạt, ghi đậm, đen, xanh đen [Thời trang nam]	Hà Nội	False	50%	False	7	False	4.378378	[37, 4, 2, 0, 1, 30]	None	None	7500000000	15000000000	8900000000	15000000000	7500000000	15000000000	None	2364	154	37	False	False	9	0	2	2648
Quần âu công sở chất tuyết hàn cao cấp 4 màu đen, xanh than, ghi xám, ghi nhạt - co giãn - ống côn [Thời trang nam]	Hà Nội	True	34%	False	7	False	5.0	[4, 0, 0, 0, 0, 4]	None	None	11900000000	18000000000	11900000000	18000000000	11900000000	18000000000	None	0	80	4	True	False	9	0	2	7
Quần Jeans Đen Thời Trang Nam QJ39444 shopthoitrang	Hà Nội	False	40%	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	29000000000	48400000000	29000000000	48400000000	29000000000	48400000000	None	1	26	0	False	True	2	0	0	2
Quần short nam (HỖ TRỢ ĐỔI SIZE) jean trơn đơn giản thời trang - Thời trang nam SIIBE	TP. Hồ Chí Minh	False	50%	False	5	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	16900000000	33800000000	16900000000	33800000000	16900000000	33800000000	None	1010	50	1	False	True	5	0	0	2
[FREESHIP 50K]  Quần âu nam ống côn loại dày đẳng cấp thời trang nam	Hà Nội	False	None	False	7	False	4.923077	[13, 0, 0, 0, 1, 12]	None	None	17000000000	-1	17000000000	-1	17000000000	0	None	2650	31	13	False	True	8	0	0	38
[TẶNG 1 SỊP ĐÙI NHẬT BẢN] Quần tây nam, quần âu ASOS ống côn, co giãn, dáng Hàn [Thời trang nam] chống nhăn, chống xù	Hà Nội	True	41%	False	7	False	4.777778	[9, 0, 0, 1, 0, 8]	None	None	11900000000	20000000000	11900000000	20000000000	11900000000	20000000000	None	2	57	9	True	True	8	0	4	17
Quần lót xuyên thấu thời trang nam độc đáo	Nước ngoài	False	44%	False	0	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	4600000000	8200000000	4600000000	8200000000	4600000000	8200000000	None	1	12	1	False	False	9	0	0	2
[HÀNG HOT 2020] Quần Jogger kaki co giãn trẻ trung thời trang nam cao cấp CEFFYLO	Hà Nội	False	35%	False	5	False	5.0	[1, 0, 0, 0, 0, 1]	None	None	29250000000	45000000000	29250000000	45000000000	29250000000	45000000000	None	521	562	1	False	False	9	0	75	75
Quần Ngắn Lưng Thun Thời Trang Nam	Nước ngoài	False	40%	False	4	False	4.5	[2, 0, 0, 0, 1, 1]	None	None	15600000000	26000000000	15600000000	26000000000	15600000000	26000000000	None	1	66	2	False	False	9	0	1	3
